Time (sec),Max Height X,Max Height Y
11,0.3008781355,0.2273877587
11.03331066,0.3008781355,0.2269885861
11.06666667,0.3012520078,0.224974143
11.1,0.3234066323,0.2226887092
11.13331066,0.3238060026,0.2222892401
11.16666667,0.3337794873,0.2222892401
11.2,0.3341694194,0.2222892401
11.23331066,0.3239720362,0.2289756534
11.26666667,0.321242067,0.2289756534
11.3,0.321242067,0.2289756534
11.33331066,0.3235259196,0.2436778366
11.36666667,0.3227118604,0.2244316675
11.4,0.3223290935,0.2244316675
11.43331066,0.3191247424,0.2244316675
11.46666667,0.3191247424,0.2244316675
11.5,0.3104678157,0.2193263296
11.53331066,0.3104678157,0.2193263296
11.56666667,0.3104678157,0.2193263296
11.6,0.3104678157,0.2193263296
11.63331066,0.3104678157,0.2193263296
11.66666667,0.3004724401,0.2226559966
11.7,0.3000728722,0.2226559966
11.73331066,0.2889643298,0.2226559966
11.76666667,0.2881142473,0.2226559966
11.8,0.2864836582,0.2226559966
11.83331066,0.2864836582,0.2226559966
11.86666667,0.2999834314,0.2226559966
11.9,0.3054964413,0.2234478191
11.93331066,0.3102857716,0.2271389059
11.96666667,0.3102857716,0.2275131734
12,0.3102857716,0.2275131734
12.03331066,0.3102857716,0.2275131734
12.06666667,0.3078001585,0.2379899972
12.1,0.3025085269,0.2375725411
12.13331066,0.30651488,0.2379610402
12.16666667,0.3126508126,0.2379610402
12.2,0.2904472675,0.2354254687
12.23331066,0.2887048033,0.2430761622
12.26666667,0.2887048033,0.2430761622
12.3,0.2860560226,0.2314251443
12.33331066,0.2860560226,0.2314251443
12.36666667,0.2860560226,0.2314251443
12.4,0.2860560226,0.2314251443
12.43331066,0.2860560226,0.2314251443
12.46666667,0.2856827928,0.2314251443
12.5,0.2796556715,0.2339666455
12.53331066,0.2859258641,0.2335705366
12.56666667,0.2937880034,0.2331525863
12.6,0.2957415181,0.2303684585
12.63331066,0.2941411709,0.2245499665
12.66666667,0.260766376,0.2461704171
12.7,0.2336604889,0.2517469744
12.73331066,0.2249087352,0.2458947815
12.76666667,0.2805475095,0.2555529011
12.8,0.2879718338,0.2541102859
12.83331066,0.2932945474,0.2459638633
12.86666667,0.3001311816,0.2344673161
12.9,0.2916335188,0.2208755819
12.93331066,0.294475956,0.2171941805
12.96666667,0.2320051924,0.2256876925
13,0.2829717989,0.2274522944
13.03331066,0.2752682316,0.2230884748
13.06666667,0.2572330212,0.2140449763
13.1,0.2756903327,0.2184410143
13.13331066,0.2906266431,0.2184410143
13.16666667,0.2915083017,0.2259916922
13.2,0.2729214741,0.2210119667
13.23331066,0.2942167261,0.2224426236
13.26666667,0.3065946354,0.2395368776
13.3,0.3236744604,0.2457484149
13.33331066,0.3266006063,0.2378356254
13.36666667,0.3262161593,0.2303281361
13.4,0.3262161593,0.2233529427
13.43331066,0.3230763438,0.2126338877
13.46666667,0.3139818987,0.2122454875
13.5,0.3069869888,0.2202690649
13.53331066,0.2955091203,0.2255334195
13.56666667,0.2955091203,0.2255334195
13.6,0.2987510267,0.2259072918
13.63331066,0.2987510267,0.2259072918
13.66666667,0.293706469,0.2312809519
13.7,0.2932820948,0.2321296014
13.73331066,0.2800443682,0.2321296014
13.76666667,0.2800443682,0.2321296014
13.8,0.2800443682,0.2321296014
13.83331066,0.2800443682,0.2321296014
13.86666667,0.2800443682,0.2348272534
13.9,0.2779490825,0.2393868544
13.93331066,0.2779490825,0.2472069417
13.96666667,0.2651057847,0.2456286334
14,0.2940919043,0.2456286334
14.03331066,0.3020154662,0.2539357529
14.06666667,0.3207310688,0.2527036446
14.1,0.3380694813,0.2501516675
14.13331066,0.3474819106,0.2442211027
14.16666667,0.3498159685,0.2406486115
14.2,0.3449921961,0.2406486115
14.23331066,0.3378674736,0.2368441672
14.26666667,0.3338253443,0.2368441672
14.3,0.3301520468,0.2335451374
14.33331066,0.3301520468,0.2335451374
14.36666667,0.3263448354,0.2335451374
14.4,0.3188830052,0.2335451374
14.43331066,0.3306014743,0.2386690552
14.46666667,0.3358425052,0.2386690552
14.5,0.328602498,0.2386690552
14.53331066,0.3282031277,0.2386690552
14.56666667,0.3282031277,0.2386690552
14.6,0.3282031277,0.2386690552
14.63331066,0.3282031277,0.2386690552
14.66666667,0.3282031277,0.2386690552
14.7,0.3219029404,0.2470814281
14.73331066,0.3215027794,0.2361184617
14.76666667,0.3231745804,0.2361184617
14.8,0.333819118,0.2416246523
14.83331066,0.3211997186,0.2384282075
14.86666667,0.3208003483,0.2384282075
14.9,0.3208003483,0.2384282075
14.93331066,0.3204266243,0.2384282075
14.96666667,0.3153851303,0.2384282075
15,0.3149890214,0.2384282075
15.03331066,0.2912348403,0.2171890413
15.06666667,0.2932950909,0.2143594519
15.1,0.3002404871,0.2139422923
15.13331066,0.3002404871,0.2192726651
15.16666667,0.3010115554,0.2192726651
15.2,0.3034532882,0.2192726651
15.23331066,0.3063125759,0.2205261206
15.26666667,0.3078896981,0.2205261206
15.3,0.3082651516,0.2291952527
15.33331066,0.3082651516,0.229595216
15.36666667,0.3082651516,0.229595216
15.4,0.3082651516,0.229595216
15.43331066,0.294922468,0.232105487
15.46666667,0.2929974163,0.232105487
15.5,0.2841082401,0.232105487
15.53331066,0.2674445864,0.232105487
15.56666667,0.2848976907,0.232105487
15.6,0.2991736219,0.232105487
15.63331066,0.2939960396,0.2546180722
15.66666667,0.2778118577,0.2452864855
15.7,0.2717615609,0.2539453393
15.73331066,0.2622855841,0.2539453393
15.76666667,0.2656119403,0.2637266995
15.8,0.2659927307,0.2554043603
15.83331066,0.2740008412,0.2519689456
15.86666667,0.27699345,0.2398158735
15.9,0.2609464435,0.2477667123
15.93331066,0.2762538095,0.2563424505
15.96666667,0.2773953898,0.2496047447
16,0.288097891,0.2441875995
16.03331066,0.291160817,0.235559284
16.06666667,0.2876564193,0.2403600291
16.1,0.2840120789,0.245610943
16.13331066,0.2800231198,0.2427594134
16.16666667,0.2750699795,0.2487266439
16.2,0.2750699795,0.2491252236
16.23331066,0.27708042,0.2518804932
16.26666667,0.2894066909,0.2518804932
16.3,0.2947635501,0.2527385315
16.33331066,0.3005724062,0.2527385315
16.36666667,0.2994431302,0.2535770015
16.4,0.2994431302,0.2535770015
16.43331066,0.2971986612,0.2609738018
16.46666667,0.2962729741,0.2603585877
16.5,0.2895180719,0.2642457523
16.53331066,0.2855383039,0.2683998556
16.56666667,0.2902835563,0.269572172
16.6,0.2835954134,0.269572172
16.63331066,0.267150272,0.2619330416
16.66666667,0.2592160859,0.263779178
16.7,0.2563903015,0.2602391028
16.73331066,0.2543669143,0.249885223
16.76666667,0.2604455752,0.2356264881
16.8,0.2730919057,0.2396186097
16.83331066,0.2942358496,0.2457675878
16.86666667,0.2942358496,0.2305664141
16.9,0.2923884779,0.2146473425
16.93331066,0.301400598,0.2088758933
16.96666667,0.3101079278,0.2108596004
17,0.3154480353,0.2186386735
17.03331066,0.3126698867,0.2199601236
17.06666667,0.3113477942,0.2236115797
17.1,0.3113477942,0.2255708759
17.13331066,0.3117216664,0.2139457514
17.16666667,0.2935698819,0.214574554
17.2,0.294377032,0.2149510413
17.23331066,0.3023186759,0.2149510413
17.26666667,0.3027202646,0.2326445512
17.3,0.3101563844,0.2249698736
17.33331066,0.309736422,0.2153416344
17.36666667,0.309736422,0.2223177742
17.4,0.309736422,0.2223177742
17.43331066,0.3114994992,0.2299772533
17.46666667,0.3114994992,0.234622947
17.5,0.3106160736,0.217522479
17.53331066,0.3088894458,0.2263520486
17.56666667,0.3088894458,0.2271684995
17.6,0.3016583661,0.2259602635
17.63331066,0.3056183377,0.2255582466
17.66666667,0.3056183377,0.2310140336
17.7,0.3056183377,0.2310140336
17.73331066,0.309774957,0.2284088213
17.76666667,0.309774957,0.2284088213
17.8,0.3038242735,0.2267284366
17.83331066,0.3038242735,0.2267284366
